Annee,IPC_Moyenne,Parti,Taux de mortalite %,Taux de mortalite infantile en %,Part des immigres dans la population %,Taux de natalite en France de 1982 e 2022 (pour 1.000 habitants)
1994,73.94083333333333,Droite,9.1,5,7.3,12.50
1995,75.26916666666666,Droite,9.1,5,7.3,12.80
1999,78.61166666666666,Gauche,8.9,4.5,7.5,12.90
2004,86.34666666666668,Gauche,8.5,3.8,8.1,12.80
2007,90.655,Droite,8.5,3.8,8.3,12.80
2009,93.28666666666668,Droite,8.5,3.6,8.4,12.80
2012,98.605,Gauche,8.7,3.6,8.8,12.60
2014,99.96166666666666,Droite,8.4,3.5,9.1,12.40
2017,101.21666666666664,Centre,9.1,3.9,9.6,11.50
2019,104.2325,Droite,9.2,3.8,9.9,11.20
2022,112.00833333333333,Centre,9.2,3.8,10.2,10.60